title,url,ratings,rated,reviews,description,subjects,institutions,instructors,Basic Info,Commitment,Hardware Req,Language,Level,scrape_date
An Introduction to Global Health,https://www.coursera.org/learn/global-health-introduction,321.0,4.8,67.0,"This course will provide you with an overview of the most important health challenges facing the world today. You will gain insight into how challenges have changed over time, we will discuss the likely determinants of such changes and examine future projections. Successful international strategies and programs promoting human health will be highlighted and global health governance structures will be mapped and the role of the key actors explored.","['Home', 'Life Sciences', 'Medicine and Healthcare']",Created by:  University of Copenhagen,"['Taught by:\xa0\xa0Flemming Konradsen, Professor, Director']",,,,English,,2018-05-30
"Creativity, Innovation, and Change",https://www.coursera.org/learn/creativity-innovation,320.0,4.4,70.0,"Let’s keep making history together - over and over!

In 2013 and 2014, over 200,000 people from more than 190 countries came together in this MOOC to explore creativity, innovation, and change.

What did we DO?
We discovered creative uniqueness through Creative Diversity.
We used Intelligent Fast Failure to build innovative skills.
We applied CENTER principles to drive personal change.
And we implemented value creation skills to initiate lasting change.

That was CIC 1.0 and CIC 2.0, and it was a BLAST!

Now we’re back - and even better than before - with some new faces and fresh ideas to help you develop your creative potential, so you can enhance and transform your business, your community, and your personal life.
This is CIC On-demand … we’re ready to ROCK … AND we are always open!

Recommended Readings
Innovate or Die - Jack Matson: http://amzn.to/14Wed0V
CENTER - Darrell Velegol: http://amzn.to/17rLzXJ","['Home', 'Physical Science and Engineering', 'Environmental Science and Sustainability']",Created by:  The Pennsylvania State University,"['Taught by:\xa0\xa0Dr. Kathryn W. Jablokow, Associate Professor', 'Taught by:\xa0\xa0Dr. Darrell Velegol, Distinguished Professor of Chemical Engineering', 'Taught by:\xa0\xa0Dr. Jack V. Matson, Professor Emeritus', 'Taught by:\xa0\xa0Elizabeth Kisenwether, Assistant Professor', 'Taught by:\xa0\xa0John Bellanti, Dr.', 'Taught by:\xa0\xa0Dr. Armend Tahirsylaj']",,3-5 hours/week,,"English, Subtitles: Chinese (Simplified)",,2018-05-30
Introduction to solar cells,https://www.coursera.org/learn/solar-cells,318.0,4.8,123.0,"How do solar cells work, why do we need, and how can we measure their efficiency? These are just some of the questions Introduction to solar cells tackles. Whether you are looking for general insight in this green technology or your ambition is to pursue a career in solar, “Introduction to Solar Cells” is an excellent starting point.

The course is a tour through the fundamental disciplines including solar cell history, why we need solar energy, how solar cells produce power, and how they work. During the course we cover mono- and multi-crystalline solar cells, thin film solar cells, and new emerging technologies. The course includes hands-on exercises using virtual instruments, interviews with field experts, and a comprehensive collection of material on solar cells.

At the end of the course you will have gained a fundamental understanding of the field. This will allow you to identify the most interesting or relevant aspects to be pursued in your future studies or in your professional career.","['Home', 'Physical Science and Engineering', 'Environmental Science and Sustainability']",Created by:  Technical University of Denmark (DTU),"['Taught by:\xa0\xa0Morten Vesterager Madsen, Researcher']",,"5 weeks of study, 2-3 hours per week",,"English, Subtitles: Hindi",Beginner,2018-05-30
"Designing, Running, and Analyzing Experiments",https://www.coursera.org/learn/designexperiments,318.0,3.6,114.0,"You may never be sure whether you have an effective user experience until you have tested it with users. In this course, you’ll learn how to design user-centered experiments, how to run such experiments, and how to analyze data from these experiments in order to evaluate and validate user experiences. You will work through real-world examples of experiments from the fields of UX, IxD, and HCI, understanding issues in experiment design and analysis. You will analyze multiple data sets using recipes given to you in the R statistical programming language -- no prior programming experience is assumed or required, but you will be required to read, understand, and modify code snippets provided to you. By the end of the course, you will be able to knowledgeably design, run, and analyze your own experiments that give statistical weight to your designs.","['Home', 'Computer Science', 'Design and Product']",Created by:  University of California San Diego,"['Taught by:\xa0\xa0Scott  Klemmer, Professor ', 'Taught by:\xa0\xa0Jacob O. Wobbrock, Professor']",Course 7 of 8 in the Interaction Design Specialization ,"9 weeks, 8-10 hours/week",,English,Intermediate,2018-05-30
Business Strategy,https://www.coursera.org/learn/strategy-business,318.0,4.7,53.0,"In this course you will learn how organizations create, capture, and maintain value, and how it is fundamental for sustainable competitive advantage. You will be able to better understand value creation and capture, and learn the tools to analyze both competition and cooperation from a variety of perspectives, including the industry level (e.g., five forces analysis), and the firm level (e.g., business models and strategic positioning). 

•	Understand how managers coordinate different functional areas, resources, and systems inside a company and align them with the external environment to enhance overall performance
•	Knowledge of strategic management tools and frameworks, and apply them to real business contexts Process diverse business and industry information to diagnose strategic issues, evaluate strategic alternatives, and formulate a coherent and actionable strategic plan
•	How to think like a CEO, entrepreneur, or general manager.

This course is part of the iMBA offered by the University of Illinois, a flexible, fully-accredited online MBA at an incredibly competitive price. For more information, please see the Resource page in this course and onlinemba.illinois.edu.","['Home', 'Business', 'Business Strategy']",Created by:  University of Illinois at Urbana-Champaign,"['Taught by:\xa0\xa0Deepak Somaya, Professor of Business Administration']",Course 5 of 7 in the Strategic Leadership and Management Specialization ,"4 weeks of study, 4-6 hours/week",,"English, Subtitles: Korean",,2018-05-30
Graphic Design,https://www.coursera.org/learn/presentation-design,318.0,4.7,90.0,"Visual communication is as critical to professional success as written or oral communication. Graphic design skills will help you ensure that your visual business assets convey a clear and compelling message - and learning the essentials of good design is surprisingly easy.

This course introduces you to a straightforward design process that emphasizes planning, clarity, and focus. You’ll learn to use contrast, repetition, proximity, and tension to create design that is both credible and visually appealing, and you’ll emulate best practices as you work with examples from a wide range of media. When you complete the course, you’ll have the skills you need to design clear and compelling presentation slides, professional reports, business websites, and more.

All of the course assignments can be completed with basic presentation software such as Microsoft PowerPoint or Apple Keynote. You’ll have opportunities to work with and explore more sophisticated tools, such as Adobe Photoshop, Illustrator, and InDesign, as well.","['Home', 'Business', 'Business Essentials']",Created by:  University of Colorado Boulder,"['Taught by:\xa0\xa0David Underwood, Design and Media Teaching Consultant']","Course 2 of 4 in the Effective Communication: Writing, Design, and Presentation Specialization ",,"You'll need some presentation software, such as Microsoft PowerPoint or Apple's Keynote. ","English, Subtitles: Italian",Beginner,2018-05-30
Finding Hidden Messages in DNA (Bioinformatics I),https://www.coursera.org/learn/dna-analysis,317.0,4.7,66.0,"Named a top 50 MOOC of all time by Class Central!

This course begins a series of classes illustrating the power of computing in modern biology. Please join us on the frontier of bioinformatics to look for hidden messages in DNA without ever needing to put on a lab coat.

In the first half of the course, we investigate DNA replication, and ask the question, where in the genome does DNA replication begin?  We will see that we can answer this question for many bacteria using only some straightforward algorithms to look for hidden messages in the genome.

In the second half of the course, we examine a different biological question, when we ask which DNA patterns play the role of molecular clocks.  The cells in your body manage to maintain a circadian rhythm, but how is this achieved on the level of DNA?  Once again, we will see that by knowing which hidden messages to look for, we can start to understand the amazingly complex language of DNA.  Perhaps surprisingly, we will apply randomized algorithms, which roll dice and flip coins in order to solve problems.

Finally, you will get your hands dirty and apply existing software tools to find recurring biological motifs within genes that are responsible for helping Mycobacterium tuberculosis go ""dormant"" within a host for many years before causing an active infection.","['Home', 'Life Sciences', 'Bioinformatics']",Created by:  University of California San Diego,"['Taught by:\xa0\xa0Pavel  Pevzner, Professor', 'Taught by:\xa0\xa0Phillip Compeau, Visiting Researcher']",Course 1 of 7 in the Bioinformatics Specialization ,4-10 hours/week,,English,Beginner,2018-05-30
Epigenetic Control of Gene Expression,https://www.coursera.org/learn/epigenetics,317.0,4.8,81.0,"While the human genome sequence has transformed our understanding of human biology, it isn’t just the sequence of your DNA that matters, but also how you use it! How are some genes activated and others are silenced? How is this controlled? The answer is epigenetics.  

Epigenetics has been a hot topic for research over the past decade as it has become clear that aberrant epigenetic control contributes to disease (particularly to cancer). Epigenetic alterations are heritable through cell division, and in some instances are able to behave similarly to mutations in terms of their stability. Importantly, unlike genetic mutations, epigenetic modifications are reversible and therefore have the potential to be manipulated therapeutically. It has also become clear in recent years that epigenetic modifications are sensitive to the environment (for example diet), which has sparked a large amount of public debate and research.

This course will give an introduction to the fundamentals of epigenetic control. We will examine epigenetic phenomena that are manifestations of epigenetic control in several organisms, with a focus on mammals. We will examine the interplay between epigenetic control and the environment and finally the role of aberrant epigenetic control in disease.

All necessary information will be covered in the lectures, and recommended and required readings will be provided. There are no additional required texts for this course. For those interested, additional information can be obtained in the following textbook.

Epigenetics. Allis, Jenuwein, Reinberg and Caparros. Cold Spring Harbour Laboratory Press. ISBN-13: 978-0879697242 | Edition: 1","['Home', 'Life Sciences', 'Biology']",Created by:  The University of Melbourne,"['Taught by:\xa0\xa0Dr. Marnie Blewitt, Head, Molecular Medicine Laboratory ']",,"7 weeks of study, 6-8 hours/week",,English,,2018-05-30
Six Sigma Principles ,https://www.coursera.org/learn/six-sigma-principles,317.0,4.6,72.0,"This course is for you if you are looking to learn more about Six Sigma or refresh your knowledge of the basic components of Six Sigma and Lean. Six Sigma skills are widely sought by employers both nationally and internationally. These skills have been proven to help improve business processes and performance. This course will introduce you to the purpose of Six Sigma and its value to an organization. You will learn about the basic principles of Six Sigma and Lean. Your instructors will introduce you to, and have you apply, some of the tools and metrics that are critical components of Six Sigma. This course will provide you with the basic knowledge of the principles, roles, and responsibilities of Six Sigma and Lean. 

Every module will include readings, videos, and a quiz to help make sure you understand the material and concepts that are studied. You will also have the opportunity to participate in discussions and peer review exercises to give you the opportunity to apply the material to your daily life.

Our applied curriculum is built around the latest handbook The Certified Six Sigma Handbook (2nd edition) and students will develop /learn the fundamentals of Six Sigma. Registration includes online access to course content, projects, and resources but does not include the companion text The Certified Six Sigma Handbook (2nd edition). The companion text is not required to complete the assignments. However, the text is a recognized handbook used by professionals in the field. Also, it is a highly recommended text for those wishing to move forward in Six Sigma and eventually gain certification from professional agencies such as American Society for Quality (ASQ).","['Home', 'Business', 'Business Essentials']",Created by:  University System of Georgia,"['Taught by:\xa0\xa0Bill Bailey, PhD, Assistant Professor of Industrial Engineering', 'Taught by:\xa0\xa0Gregory Wiles, PhD, Interim Chair and Assistant Professor', 'Taught by:\xa0\xa0David Cook, PhD, Assistant Professor of Mechanical Engineering Technology', 'Taught by:\xa0\xa0Christina Scherrer, PhD, Professor of Industrial Engineering']",Course 1 of 4 in the Six Sigma Yellow Belt Specialization ,,Required Companion text: The Certified Six Sigma Yellow Belt Handbook (2nd edition),English,Beginner,2018-05-30
Applications in Engineering Mechanics,https://www.coursera.org/learn/engineering-mechanics-statics-2,317.0,4.8,57.0,"This course applies principles learned in my course “Introduction to Engineering Mechanics” to analyze real world engineering structures.  You will need to have mastered the engineering fundamentals from that class in order to be successful in this course offering.  This course addresses the modeling and analysis of static equilibrium problems with an emphasis on real world engineering systems and problem solving.  

---------------------------
Recommended Background:

You will need to have successfully completed my earlier course “Introduction to Engineering Mechanics” in order to be successful in this course.

---------------------------
The copyright of all content and materials in this course are owned by either the Georgia Tech Research Corporation or Dr. Wayne Whiteman. By participating in the course or using the content or materials, whether in whole or in part, you agree that you may download and use any content and/or material in this course for your own personal, non-commercial use only in a manner consistent with a student of any academic course. Any other use of the content and materials, including use by other academic universities or entities, is prohibited without express written permission of the Georgia Tech Research Corporation. Interested parties may contact Dr. Wayne Whiteman directly for information regarding the procedure to obtain a non-exclusive license.","['Home', 'Physical Science and Engineering', 'Mechanical Engineering']",Created by:  Georgia Institute of Technology,"['Taught by:\xa0\xa0Dr. Wayne Whiteman, PE, Senior Academic Professional']",,5 weeks of material; 5 to 7 hours per week work for students,,English,,2018-05-30
Parallel Programming in Java,https://www.coursera.org/learn/parallel-programming-in-java,317.0,4.5,72.0,"This course teaches learners (industry professionals and students) the fundamental concepts of parallel programming in the context of Java 8. Parallel programming enables developers to use multicore computers to make their applications run faster by using multiple processors at the same time. By the end of this course, you will learn how to use popular parallel Java frameworks (such as ForkJoin, Stream, and Phaser) to write parallel programs for a wide range of multicore platforms including servers, desktops, or mobile devices, while also learning about their theoretical foundations including computation graphs, ideal parallelism, parallel speedup, Amdahl's Law, data races, and determinism.

Why take this course?

•	All computers are multicore computers, so it is important for you to learn how to extend your knowledge of sequential Java programming to multicore parallelism.
•	Java 7 and Java 8 have introduced new frameworks for parallelism (ForkJoin, Stream) that have significantly changed the paradigms for parallel programming since the early days of Java.
•	Each of the four modules in the course includes an assigned mini-project that will provide you with the necessary hands-on experience to use the concepts learned in the course on your own, after the course ends.
•	During the course, you will have online access to the instructor and the mentors to get individualized answers to your questions posted on forums.

The desired learning outcomes of this course are as follows:

•	Theory of parallelism: computation graphs, work, span, ideal parallelism, parallel speedup, Amdahl's Law, data races, and determinism
•	Task parallelism using Java’s ForkJoin framework
•	Functional parallelism using Java’s Future and Stream frameworks
•	Loop-level parallelism with extensions for barriers and iteration grouping (chunking)
•	Dataflow parallelism using the Phaser framework and data-driven tasks

Mastery of these concepts will enable you to immediately apply them in the context of multicore Java programs, and will also provide the foundation for mastering other parallel programming systems that you may encounter in the future  (e.g., C++11, OpenMP, .Net Task Parallel Library).","['Home', 'Computer Science', 'Software Development']",Created by:  Rice University,"['Taught by:\xa0\xa0Vivek Sarkar, Professor']","Course 1 of 3 in the Parallel, Concurrent, and Distributed Programming in Java Specialization ","Four weeks of study, 4-8 hours/week depending on past experience with sequential programming in Java",Access to a computer that can run Java 8 programs for optional course projects,English,Intermediate,2018-05-30
Smart Cities – Management of Smart Urban Infrastructures,https://www.coursera.org/learn/smart-cities,316.0,4.6,84.0,"Learn about Smart Cities within the context of management of urban infrastructures. The introduction of Smart urban technologies into legacy infrastructures has resulted in numerous challenges and opportunities for contemporary cities and will continue to do so. This course will help you to understand how to make the best of these smart technologies in your cities’ legacy infrastructures.  
Over the past few years, advances in the Information and Communication Technologies (ICTs) have significantly challenged the traditionally stable land scape of urban infrastructure service provision. This has resulted in increasing interest from both technology vendors and public authorities in the transition of cities towards so-called “Smart Cities”. Although such “Smart technologies” can provide immense opportunities for citizens and service providers alike, the ICTs often act as disruptive innovators of urban infrastructure service provision.
In this MOOC, you will gain a thorough understanding of the challenges and opportunities associated with the Smart urban infrastructures, namely Smart urban transportation and Smart urban energy systems. Over the journey of this 5-week online course you will learn about the most important principles for the management of Smart urban infrastructures as well as the applications of these principles in the transportation and energy sectors. 
This course does not have any prerequisites. However, to take the most away from of this MOOC, we strongly encourage you to enroll in our other MOOC on the Management of Urban Infrastructures, which has been widely praised by learners. 
Through this course, you will:
- Gain a deep understanding of the nature of disruptive innovations (smart technologies) in urban infrastructure systems;
- Learn about state-of-the-art strategies for effectively managing the transition from legacy infrastructures to smart urban systems;
- Study the management of the transition phase from legacy infrastructure systems to smart cities by supporting innovations while avoiding early lock-in; and
- Understand potential applications of the materials learned in this course within the context of the management of smart urban transportation systems as well as smart urban energy systems.","['Home', 'Social Sciences', 'Governance and Society']",Created by:  École Polytechnique Fédérale de Lausanne,"['Taught by:\xa0\xa0Matthias Finger, Professor']",,"5 weeks of study, 2-3 hours per week",,"English, Subtitles: French, Persian",Beginner,2018-05-30
Introduction to Deep Learning,https://www.coursera.org/learn/intro-to-deep-learning,316.0,4.4,87.0,"The goal of this course is to give learners basic understanding of modern neural networks and their applications in computer vision and natural language understanding. The course starts with a recap of linear models and discussion of stochastic optimization methods that are crucial for training deep neural networks. Learners will study all popular building blocks of neural networks including fully connected layers, convolutional and recurrent layers. 
Learners will use these building blocks to define complex modern architectures in TensorFlow and Keras frameworks. In the course project learner will implement deep neural network for the task of image captioning which solves the problem of giving a text description for an input image.

The prerequisites for this course are: 
1) Basic knowledge of Python.
2) Basic linear algebra and probability.

Please note that this is an advanced course and we assume basic knowledge of machine learning. You should understand:
1) Linear regression: mean squared error, analytical solution.
2) Logistic regression: model, cross-entropy loss, class probability estimation.
3) Gradient descent for linear models. Derivatives of MSE and cross-entropy loss functions.
4) The problem of overfitting.
5) Regularization for linear models.","['Home', 'Data Science', 'Machine Learning']",Created by:  National Research University Higher School of Economics,"['Taught by:\xa0\xa0Evgeny Sokolov, Senior Lecturer', 'Taught by:\xa0\xa0Andrei Zimovnov, Senior Lecturer', 'Taught by:\xa0\xa0Alexander Panin, Lecturer', 'Taught by:\xa0\xa0Ekaterina Lobacheva, Senior Lecturer', 'Taught by:\xa0\xa0Nikita Kazeev, Researcher']",Course 1 of 7 in the Advanced Machine Learning Specialization ,"6 weeks of study, 6-10 hours/week",,English,Advanced,2018-05-30
Managing Employee Compensation,https://www.coursera.org/learn/compensation-management,316.0,4.6,67.0,"How do I pay employees? And how do I get paid? 

This course covers how to pay employees. We begin by asking: ""What kind of a person do I need to attract, retain, and motivate for my business to succeed?"" From here, we'll explain how to translate that pay strategy into the pay mix: the salary structure, short-term incentives, long-term incentives, and benefits that are aligned to your business objectives. 

Interested in learning more about the technical aspects of compensation, but don't know where to begin? We'll give an overview of key the key technical skills: compliance with pay regulations, understanding stock options, shopping for health insurance and pension providers, and designing incentive plans. Lastly, we'll discuss non-monetary methods of motivating employees. 

If you're interested in learning how to pay employees, or learning where your paycheck comes from, this course is for you!","['Home', 'Business', 'Business Essentials']",Created by:  University of Minnesota,"['Taught by:\xa0\xa0Alan Benson, Assistant Professor', 'Taught by:\xa0\xa0Mike Davis, Senior Lecturer']",Course 4 of 5 in the Human Resource Management: HR for People Managers Specialization ,"4 weeks of study, 2-4 hours/week",,"English, Subtitles: Vietnamese",,2018-05-30
Principles of Computing (Part 1),https://www.coursera.org/learn/principles-of-computing-1,315.0,4.8,49.0,"This two-part course builds upon the programming skills that you learned in our Introduction to Interactive Programming in Python course.  We will augment those skills with both important programming practices and critical mathematical problem solving skills.  These skills underlie larger scale computational problem solving and programming. The main focus of the class will be programming weekly mini-projects in Python that build upon the mathematical and programming principles that are taught in the class. To keep the class fun and engaging, many of the projects will involve working with strategy-based games.

In part 1 of this course, the programming aspect of the class will focus on coding standards and testing.  The mathematical portion of the class will focus on probability, combinatorics, and counting with an eye towards practical applications of these concepts in Computer Science.  

Recommended Background - Students should be comfortable writing small (100+ line) programs in Python using constructs such as lists, dictionaries and classes and also have a high-school math background that includes algebra and pre-calculus.","['Home', 'Computer Science', 'Software Development']",Created by:  Rice University,"['Taught by:\xa0\xa0Scott Rixner, Professor', 'Taught by:\xa0\xa0Joe Warren, Professor', 'Taught by:\xa0\xa0Luay Nakhleh, Associate Professor']",Course 3 of 7 in the Fundamentals of Computing Specialization ,"4 weeks of study, 7-10 hours/week",,English,Intermediate,2018-05-30
Advanced Content and Social Tactics to Optimize SEO,https://www.coursera.org/learn/seo-tactics,313.0,4.5,57.0,"Discover the content marketing and social media ecosystems and how these interconnected channels drive search results to a website. Leverage content marketing and social media as part of your SEO strategy, and how to use influence marketing to establish a website’s authority.","['Home', 'Business', 'Marketing']","Created by:  University of California, Davis","['Taught by:\xa0\xa0Eric Enge, Co-Author of ""The Art of SEO""']",Course 4 of 6 in the Search Engine Optimization (SEO) Specialization ,"4 weeks of study, 1-3 hours/week",,English,,2018-05-30
Digital Product Management: Modern Fundamentals,https://www.coursera.org/learn/uva-darden-digital-product-management,312.0,4.7,84.0,"Not so long ago, the job of product manager was about assessing market data, creating requirements, and managing the hand-off to sales/marketing. Maybe you’d talk to a customer somewhere in there and they’d tell you what features they wanted. But companies that manage product that way are dying.

Being a product person today is a new game, and product managers are at the center of it. Today, particularly if your product is mostly digital, you might update it several times a day. Massive troves of data are available for making decisions and, at the same time, deep insights into customer motivation and experience are more important than ever. The job of the modern product manager is to charter a direction and create a successful working environment for all the actors involved in product success.  It’s not a simple job or an easy job, but it is a meaningful job where you’ll be learning all the time. 

This course will help you along your learning journey and prepare you with the skills and perspective you need to:

Create the actionable focus to successfully manage your product (week 1)
Focus your work using modern product management methods (week 2)
Manage new products and explore new product ideas (week 3)
Manage and amplify existing products (week 4)

This course is ideal for current product or general  managers interested in today's modern product management methods.

This course was developed with the generous support of the Batten Institute at UVA’s Darden School of Business. The Batten Institute’s mission is to improve the world through entrepreneurship and innovation: www.batteninstitute.org.","['Home', 'Business', 'Leadership and Management']",Created by:  University of Virginia,"['Taught by:\xa0\xa0Alex Cowan, Faculty & Batten Fellow']",,"4 weeks of study, 4-6 hours/week",,English,Beginner,2018-05-30
Information Security: Context and Introduction,https://www.coursera.org/learn/information-security-data,312.0,4.5,96.0,"In this course you will explore information security through some introductory material and gain an appreciation of the scope and context around the subject. This includes a brief introduction to cryptography, security management and network and computer security that allows you to begin the journey into the study of information security and develop your appreciation of some key information security concepts.

The course concludes with a discussion around a simple model of the information security industry and explores skills, knowledge and roles so that you can determine and analyse potential career opportunities in this developing profession and consider how you may need to develop personally to attain your career goals. 

After completing the course you will have gained an awareness of key information security principles regarding information, confidentiality, integrity and availability. You will be able to explain some of the key aspects of information risk and security management, in addition, summarise some of the key aspects in computer and network security, including some appreciation of threats, attacks, exploits and vulnerabilities. You will also gain an awareness of some of the skills, knowledge and roles/careers opportunities within the information security industry.","['Home', 'Computer Science', 'Computer Security and Networks']","Created by:  University of London, Royal Holloway, University of London","['Taught by:\xa0\xa0Professor Peter Komisarczuk, Programme Director', 'Taught by:\xa0\xa0Professor Keith M. Martin, Professor of Information Security', 'Taught by:\xa0\xa0Dr Jorge Blasco Alis, Lecturer in Information Security']",,,,"English, Subtitles: Vietnamese",Beginner,2018-05-30
The Manager's Toolkit: A Practical Guide to Managing People at Work,https://www.coursera.org/learn/people-management,312.0,4.6,98.0,"The aim of this course is to give you a practical guide to managing people at work. It does not matter whether you are a first time manager in a shop or a middle manager in an office environment; the same skills apply to every work place. In the course you will engage with some HR theories and then see how they translate into every day working life. 

At the end of the course we hope you will be better equipped to choose a suitable employee, to motivate and appraise your team, to manage conflict in the work place and to lead and make decision on a day to day basis.","['Home', 'Business', 'Leadership and Management']","Created by:  University of London, Birkbeck, University of London","['Taught by:\xa0\xa0Dr Chris Dewberry, Lecturer and Course Director - University of London International Programmes']",,"6 weeks of study, 1-3 hours/week",,English,,2018-05-30
Advanced Chemistry,https://www.coursera.org/learn/advanced-chemistry,310.0,4.6,78.0,"A chemistry course to cover selected topics covered in advanced high school chemistry courses, correlating to the standard topics as established by the American Chemical Society.

Prerequisites: Students should have a background in basic chemistry including nomenclature, reactions, stoichiometry, molarity and thermochemistry.","['Home', 'Physical Science and Engineering', 'Chemistry']",Created by:  University of Kentucky,"['Taught by:\xa0\xa0Dr. Allison Soult, Lecturer', 'Taught by:\xa0\xa0Dr. Kim Woodrum, Sr. Lecturer']",,,,English,,2018-05-30
3D Printing Applications,https://www.coursera.org/learn/3d-printing-applications,310.0,4.5,72.0,"This course will help you understand how 3D printing is being applied across a number of domains, including design, manufacturing, and retailing. It will also demonstrate the special capabilities of 3D printing such as customization, self-assembly, and the ability to print complex objects. In addition to business applications, this course will also examine how individuals, including those in developing countries, are using this technology to create solutions to the problems they face. This course will also provide an overview of design thinking and how you can use this framework to develop ideas that can be turned into objects. Learners who complete this course will obtain a rich understanding of the capabilities of 3D printing and how to think about designing objects for this new technology.","['Home', 'Business', 'Entrepreneurship']",Created by:  University of Illinois at Urbana-Champaign,"['Taught by:\xa0\xa0Vishal Sachdev, Clinical Assistant Professor , Director, Illinois MakerLab']",,"4 weeks of study, 3-4 hours/week",,"English, Subtitles: French",Beginner,2018-05-30
The Technology of Music Production,https://www.coursera.org/learn/technology-of-music-production,309.0,4.8,98.0,"Learn about the music production process—including recording, editing, and mixing—and the tools available to you to create contemporary music on your computer.

With the recent introduction of high-quality-low-cost software and hardware, the tools of music production are now available to the masses. Albums are made in bedrooms as well as studios. On the surface this is liberating. Anyone can make an album for the low cost of a couple pieces of gear and a software package. But, if you dig deeper, you will find that it is not so easy. Producing music requires knowledge, dedication, and creativity.
    
Knowledge is where this course comes in. No matter what kind of music you are making, there is a large set of tools that you will need to use.  Each lesson of this course will demonstrate a different set of music production tools, loosely following along the music production process of recording, editing, and mixing. 

We will start with some background on the nature of sound and how we perceive it. We will then examine the components necessary to record audio into a computer, so that you understand the devices that sound must travel through in a music production process. 
    
Once recorded, sound must be organized along a timeline, a process known as editing. It allows us to give the impression of perfect performances and create many of the sounds we hear in contemporary music. The contemporary editing tool is the Digital Audio Workstation (DAW),  a piece of software that stores and organizes all the assets of a musical project. We will focus on the editing tools that are essential in contemporary music production and that all DAWs provide. 

After editing, sounds must be combined or mixed together, so we look to the mixing board—a very creative place if you know how to use it. We will explore the basic functionality of both hardware and software mixing boards, including volume, pan, mute, solo, busses, inserts, sends, and submixes. The mixing process, however, includes more tools than the mixing board provides on its own. Sound must also be processed, modified from its recorded state to fit the context of the music. We will look at compression, equalization, and delay, and examine the many audio effects that are offshoots of these devices and how they are used in a musical context.
    
In the end, the music production process relies on your creativity. Creativity is a product of the mind and will stay there, unexpressed, until the right tools are used in the right way to share it with the world. If you have an idea in your head, it will take numerous steps, each with an important tool, to reach your audience. You bring the dedication and creativity, and this course will bring you the knowledge to make that happen.","['Home', 'Arts and Humanities', 'Music and Art']",Created by:  Berklee College of Music,"['Taught by:\xa0\xa0Loudon Stearns, Assistant Professor']",Course 2 of 4 in the Music Production Specialization ,"6 weeks of study, 3-4 hours/week",,"English, Subtitles: Spanish, Portuguese (Brazilian), Chinese (Simplified)",Beginner,2018-05-30
Adjectives and Adjective Clauses,https://www.coursera.org/learn/adjective-clauses,309.0,4.6,81.0,"Being able to adeptly use adjective clauses in speaking and writing is useful for upper level English learners. Adjectives and adjective clauses are very common in English, so students need to be able to understand them when they see them or hear them. Students often struggle to bring complexity to their speaking and writing and adjective clauses can be a great way to do this.

Please note that all of the lectures and practice activities are available for free, but taking the quizzes and getting feedback on assignments are only available in the paid version","['Home', 'Language Learning', 'Learning English']","Created by:  University of California, Irvine","['Taught by:\xa0\xa0Tamy Chapman, Instructor, International Programs', 'Taught by:\xa0\xa0Judy Hu, Instructor, International Programs', 'Taught by:\xa0\xa0Brad Gilpin']",Course 2 of 4 in the Learn English: Intermediate Grammar Specialization ,"4 weeks of study, 2-4 hours/week",,"English, Subtitles: Spanish, Hindi",,2018-05-30
Chicken Behaviour and Welfare,https://www.coursera.org/learn/chickens,308.0,4.7,111.0,"This course explains the general principles of chicken behaviour and welfare, and the behavioural and physiological indicators that can be used to assess welfare in chickens kept in hobby flocks through to commercial farms. The focus is primarily on laying hens and meat chickens (broilers) although many of the principles are relevant to other types of poultry. The course is likely to be of interest to people who own chickens as pets or keep a small hobby flock, commercial egg and chicken meat producers, veterinarians and vet nurses. 

Learning Objectives: at the end of this course, you will be able to -
- Describe avian sensory perception and motivation
- Explain the main behaviour patterns of poultry
- Define welfare and explain the bases of welfare standards
- Assess chicken welfare, using behavioural and physiological means
- Understand common welfare problems of chickens

This course is taught by staff from Scotland's Rural College (SRUC), University of Glasgow, and St David's Poultry Team.

You can follow us on Twitter!  #chickenmooc

© University of Edinburgh and Scotland's Rural College 2016 CC BY","['Home', 'Life Sciences', 'Animals and Veterinary Science']",Created by:  The University of Edinburgh,"['Taught by:\xa0\xa0Dr Victoria Sandilands, Senior scientist']",,,,"English, Subtitles: French",,2018-05-30
