Basic Info,Commitment,Hardware Req,How To Pass,Language,Level,User Ratings,description,institutions,instructors,ratings,reviews,scrape_date,subjects,title,url
,"5 weeks of study, 2-3 hours/week  (5 semanas de estudio, 2-3 horas/semana)",,Pass all graded assignments to complete the course.,"English, Subtitles: Spanish",Beginner,4.7 starsAverage User Rating 4.7See what learners said,"About this course: This course gives you a complete insight into the communication and managerial techniques put into practice in the creation of the most important sporting mega event in the world. You will learn about the essentials of television production, programming strategies and television rights management of the Olympic Games. At the same time, you will gain valuable knowledge about the fundamentals of communication via social media and of the Olympic culture which is so closely connected with classic culture and humanism. 
The Olympic Games are a precise reflector of advanced current societies as a whole. Many of the strategies and trends dealt with in this course are transferable  to other fields beyond the world of sport.


Este curso te ofrece un conocimiento completo de las técnicas de comunicación y gestión que se ponen en práctica en la creación del acontecimiento deportivo más importante del mundo. Aprenderás las claves de la producción y realización televisiva de los Juegos, su programación y la estrategia de gestión de los derechos audiovisuales de los Juegos Olímpicos. Al mismo tiempo, conseguirás un valioso conocimiento sobre los fundamentos de la comunicación en las redes sociales y la cultura Olímpica, que está estrechamente conectada con la cultura clásica y el humanismo. 
Los Juegos Olímpicos son un preciso reflector de las sociedades avanzadas modernas consideradas como un todo. Muchas de las estrategias y tendencias que abordamos en este curso pueden aplicarse a otros campos diferentes al mundo del deporte.",Created by:  Universitat Autònoma de Barcelona,"['Taught by:\xa0\xa0Emilio Fernández Peña, Professor Titular']",Rated 4.7 out of 5 of 32 ratings,See all 7 reviews,2018-05-30,"['Home', 'Business', 'Marketing']",The Olympic Games and the Media,https://www.coursera.org/learn/olympic-games
,"4 weeks, 2 hours per week",,Pass all graded assignments to complete the course.,English,Beginner,4.6 starsAverage User Rating 4.6See what learners said,"About this course: Epidemiology is often described as the cornerstone science in public health. Epidemiology in public health practice uses study design and analyses to identify causes in an outbreak situation, guides interventions to improve population health, and evaluates programs and policies.

In this course, we'll define the role of the professional epidemiologist as it relates to public health services, functions, and competencies. With that foundation in mind, we'll introduce you to the problem solving methodology and demonstrate how it can be used in a wide variety of settings to identify problems, propose solutions, and evaluate interventions. This methodology depends on the use of reliable data, so we'll take a deep dive into the routine and public health data systems that lie at the heart of epidemiology and then conclude with how you can use that data to calculate measures of disease burden in populations.",Created by:  Johns Hopkins University,"['Taught by:\xa0\xa0Keri Althoff, Associate Professor']",Rated 4.6 out of 5 of 162 ratings,See all 37 reviews,2018-05-30,"['Home', 'Life Sciences', 'Medicine and Healthcare']",Epidemiology in Public Health Practice,https://www.coursera.org/learn/epidemiology-public-health
,"5 weeks of study, 1-2 hours/week",,Pass all graded assignments to complete the course.,English,,,"About this course: This course is for novice programmers or business people who would like to understand the core tools used to wrangle and analyze big data. With no prior experience, you will have the opportunity to walk through hands-on examples with Hadoop and Spark frameworks, two of the most common in the industry. You will be comfortable explaining the specific components and basic processes of the Hadoop architecture, software stack, and execution environment.   In the assignments you will be guided in how data scientists apply the important concepts and techniques such as Map-Reduce that are used to solve fundamental problems in big data.  You'll feel empowered to have conversations about big data and the data analysis process.",Created by:  University of California San Diego,"['Taught by:\xa0\xa0Natasha Balac, Director, Predictive Analytics Center of Excellence (PACE)', 'Taught by:\xa0\xa0Paul Rodriguez, Research Programmer', 'Taught by:\xa0\xa0Andrea Zonca, HPC Applications Specialist']",,,2018-05-30,"['Home', 'Data Science', 'Data Analysis']",Hadoop Platform and Application Framework,https://www.coursera.org/learn/hadoop
,,,Pass all graded assignments to complete the course.,English,,4.8 starsAverage User Rating 4.8See what learners said,"About this course: The purpose of this course is to improve feedback, clinical teaching, and assessment of clinical skills.",Created by:  University of Michigan,"['Taught by:\xa0\xa0Sally Santen, M.D., Ph.D., Associate Professor - Emergency Medicine']",Rated 4.8 out of 5 of 76 ratings,See all 28 reviews,2018-05-30,"['Home', 'Life Sciences', 'Clinical Science']",Teaching and Assessing Clinical Skills,https://www.coursera.org/learn/clinical-skills
Course 1 of 5 in the Estrategia de marketing Specialization ,"4 weeks of study, 1-2 hours/week",,Pass all graded assignments to complete the course.,"Spanish, Subtitles: English",Beginner,4.4 starsAverage User Rating 4.4See what learners said,"About this course: El primer curso de este especialización consta de dos bloques que te proveerán de los conocimientos necesarios para comenzar tu trayectoria en Marketing.

Aprende las herramientas y técnicas para convertir una decisión en una investigación real, esto lo verás en el primer módulo: Investigación de Mercado. Cómo plantear la investigación, analizar los datos recogidos, interpretarlos correctamente y comunicarlos a través de recomendaciones precisas serán algunas de las cuestiones tratadas en este curso. 

El segundo módulo se enfoca en el proceso de toma de decisiones por parte del consumidor, resaltando los momentos clave en el proceso de compra y consumo de un producto. Adapta tu enfoque “cliente-céntrico” en decisiones de marketing mediante el análisis de cómo tus clientes toman sus decisiones, reflexionando en qué sucede en sus corazones y mentes al momento de tomar decisiones y analizando las variables que son influyentes para tomarlas.",Created by:  IE Business School,"['Taught by:\xa0\xa0Shameek Sinha, Professor']",Rated 4.4 out of 5 of 92 ratings,See all 23 reviews,2018-05-30,"['Home', 'Business', 'Marketing']",Investigación de mercados y comportamiento del consumidor,https://www.coursera.org/learn/investigacion-de-mercados
,"We estimate the workload for this course to be about 11 weeks of study with 3 to 4 hours/week, depending on your usage of the optional material. ",,Pass all graded assignments to complete the course.,English,,4.5 starsAverage User Rating 4.5See what learners said,"About this course: This course introduces you to subatomic physics, i.e. the physics of nuclei and particles. 

More specifically, the following questions are addressed:
- What are the concepts of particle physics and how are they implemented?
- What are the properties of atomic nuclei and how can one use them?
- How does one accelerate and detect particles and measure their properties?
- What does one learn from particle reactions at high energies and particle decays?
- How do electromagnetic interactions work and how can one use them?
- How do strong interactions work and why are they difficult to understand?
- How do weak interactions work and why are they so special?
- What is the mass of objects at the subatomic level and how does the Higgs boson intervene?
- How does one search for new phenomena beyond the known ones?
- What can one learn from particle physics concerning astrophysics and the Universe as a whole?

The course is structured in eight modules. Following the first one which introduces our subject, the modules 2 (nuclear physics)
and 3 (accelerators and detectors) are rather self contained and can be studied separately. The modules 4 to 6 go into more depth about matter and forces as described by the standard model of particle physics. Module 7 deals with our ways to search for new phenomena. And the last module introduces you to two mysterious components of the Universe, namely Dark Matter and Dark Energy.",Created by:  University of Geneva,"['Taught by:\xa0\xa0Martin Pohl, Professeur ordinaire', 'Taught by:\xa0\xa0Mercedes Paniccia, Collaboratrice scientifique', 'Taught by:\xa0\xa0Anna Sfyrla, Assistant Professor\t']",Rated 4.5 out of 5 of 175 ratings,See all 61 reviews,2018-05-30,"['Home', 'Physical Science and Engineering', 'Physics and Astronomy']",Particle Physics: an Introduction,https://www.coursera.org/learn/particle-physics
,"4 weeks of study, 1-2 hours/week",,Pass all graded assignments to complete the course.,English,Beginner,4.7 starsAverage User Rating 4.7See what learners said,"About this course: Projects are all around us. Virtually every organization runs projects, either formally or informally. We are engaged in projects at home and at work. Across settings, planning principles and execution methodologies can offer ways in which projects can be run more effectively and efficiently. Project management provides organizations (and individuals) with the language and the frameworks for scoping projects, sequencing activities, utilizing resources, and minimizing risks.

This is an introductory course on the key concepts of planning and executing projects. We will identify factors that lead to project success, and learn how to plan, analyze, and manage projects. Learners will be exposed to state-of-the-art methodologies and to considering the challenges of various types of projects.

As a  Project Management Institute (PMI®) Registered Education Provider, the University of Virginia Darden School of Business has been approved by PMI to issue 12 professional development units (PDUs) for this course, which focuses on core competencies recognized by PMI. (Provider #2122)",Created by:  University of Virginia,"['Taught by:\xa0\xa0Yael Grushka-Cockayne (@grushkay), Associate Professor of Business Administration']","Rated 4.7 out of 5 of 1,538 ratings",See all 401 reviews,2018-05-30,"['Home', 'Business', 'Business Essentials']",Fundamentals of Project Planning and Management,https://www.coursera.org/learn/uva-darden-project-management
Course 3 of 5 in the Corporate Entrepreneurship: Innovating within Corporations Specialization ,,,Pass all graded assignments to complete the course.,English,Beginner,,"About this course: This course focuses on enhancing your understanding of (1) how an internal venture is organized and (2) how to overcome resistance to your new venture ideas within the company.  The course is specifically valuable for:

• Employees who have creative ideas important to their company;
• Managers seeking to assemble creative people and resources; 
• Technical specialists desiring to become part of an internal venture; and
• Consultants who advise companies on ways to launch and grow internal ventures.

You will learn strategies to help you launch a corporate venture with coursework focused on four key areas:

• Examining how to audit a company's internal environment to establish a framework for its innovation capabilities;
• Creating a plan for an organizational structure and operational format that incorporates key roles and players for internal ventures within the company;
• Analyzing corporate culture to identify creative capabilities that leverage the company's best practices for innovation;
• Evaluating innovation portfolios and compose innovation strategies that are best aligned with the implementation potential within the company.

Try this course for FREE at https://www.coursera.org/learn/corporate-entrepreneurs-innovation-strategy","Created by:  University of Maryland, College Park","['Taught by:\xa0\xa0Dr. Thomas J. Mierzwa, Lecturer of Technology Entrepreneurship']",Rated 4.1 out of 5 of 15 ratings,,2018-05-30,"['Home', 'Business', 'Entrepreneurship']",Crafting Strategies for Innovation Initiatives for Corporate Entrepreneurs,https://www.coursera.org/learn/corporate-entrepreneurs-innovation-strategy
,,,Pass all graded assignments to complete the course.,English,Beginner,4.5 starsAverage User Rating 4.5See what learners said,"About this course: HI-FIVE (Health Informatics For Innovation, Value & Enrichment) Training is an approximately 10-hour online course designed by Columbia University in 2016, with sponsorship from the Office of the National Coordinator for Health Information Technology (ONC).  The training is role-based and uses case scenarios.   No additional hardware or software are required for this course.

Our nation’s healthcare system is changing at a rapid pace. Transformative health care delivery programs depend heavily on health information technology to improve and coordinate care, maintain patient registries, support patient engagement, develop and sustain data infrastructure necessary for multi-payer value-based payment, and enable analytical capacities to inform decision making and streamline reporting.  The accelerated pace of change from new and expanding technology will continue to be a challenge for preparing a skilled workforce so taking this training will help you to stay current in the dynamic landscape of health care.

This course is one of three related courses in the HI-FIVE training program, which has topics on population health, care coordination and interoperability, value-based care, healthcare data analytics, and patient-centered care.  Each of the three courses is designed from a different perspective based on various healthcare roles.  This second course is from a social or peer perspective, geared towards care coordinators, care/case managers, social workers, community health workers, patient navigators, peer coaches, behavioral health support, and other similar roles.  However, we encourage anyone working in healthcare, health IT, public health, and population health to participate in any of the three trainings. 

If you would like to obtain continuing medical education (CME) or continuing nursing education (CNE) credits, you will need to have eligible credentials, complete the entire course, and complete the evaluation survey at the end.  The HI-FIVE team verifies after each month that these requirements have been met and then a separate certificate (fee may apply) is distributed to you from our accreditation office.  Please allow time for processing.  If you have any further questions about continuing education, please see our website at www.hi-fivetraining.org. 

Accreditation Statement
The College of Physicians and Surgeons of Columbia University is accredited by the Accreditation Council for Continuing Medical Education (ACCME) to provide continuing medical education for physicians.

AMA Credit Designation Statement
The College of Physcians and Surgeons designates this enduring material for 10.0 AMA PRA Category 1 Credits™. Physicians should claim only the credit commensurate with the extent of their participation in the activity.

The planning committee members are: Rita Kukafka, DrPH, MA, FACMI; Bruce Forman, MD; Gil Kuperman, MD, PhD; Virginia Lorenzi, MS, CPHIMS, FHL7, and Victoria Tiase, MSN, BN.  None of the members of the committee, who planned this CME Activity, have any relevant financial relationships to disclose.  The release date is 3/27/17 and the expiration date is 3/26/18.

This activity is eligible for 10 continuing nursing education (CNE) credits.  

Columbia University School of Nursing, Continuing Nursing Education Program is accredited as a provider of continuing nursing education by the American Nurses Credentialing Center's Commission on Accreditation.",Created by:  Columbia University,"['Taught by:\xa0\xa0Rita Kukafka, Associate Professor']",Rated 4.5 out of 5 of 14 ratings,See all 4 reviews,2018-05-30,"['Home', 'Life Sciences', 'Medicine and Healthcare']","HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Social/Peer Perspective)",https://www.coursera.org/learn/hi-five-social-peer
Course 6 of 7 in the Advanced Machine Learning Specialization ,"5 weeks of study, 4-5 hours per week",,Pass all graded assignments to complete the course.,English,Advanced,4.8 starsAverage User Rating 4.8See what learners said,"About this course: This course covers a wide range of tasks in Natural Language Processing from basic to advanced: sentiment analysis, summarization, dialogue state tracking, to name a few. Upon completing, you will be able to recognize NLP tasks in your day-to-day work, propose approaches, and judge what techniques are likely to work well.  The final project is devoted to one of the most hot topics in today’s NLP. You will build your own conversational chat-bot that will assist with search on StackOverflow website. The project will be based on practical assignments of the course, that will give you hands-on experience with such tasks as text classification, named entities recognition, and duplicates detection. 

Throughout the lectures, we will aim at finding a balance between traditional and deep learning techniques in NLP and cover them in parallel. For example, we will discuss word alignment models in machine translation and see how similar it is to attention mechanism in encoder-decoder neural networks. Core techniques are not treated as black boxes. On the contrary, you will get in-depth understanding of what’s happening inside. To succeed in that, we expect your familiarity with the basics of linear algebra and probability theory, machine learning setup, and deep neural networks. Some materials are based on one-month-old papers and introduce you to the very state-of-the-art in NLP research.",Created by:  National Research University Higher School of Economics,"['Taught by:\xa0\xa0Anna Potapenko, Researcher', 'Taught by:\xa0\xa0Alexey Zobnin, Accosiate professor', 'Taught by:\xa0\xa0Anna Kozlova, Team Lead', 'Taught by:\xa0\xa0Sergey Yudin, Analyst-developer', 'Taught by:\xa0\xa0Andrei Zimovnov, Senior Lecturer']",Rated 4.8 out of 5 of 83 ratings,See all 21 reviews,2018-05-30,"['Home', 'Data Science', 'Machine Learning']",Natural Language Processing,https://www.coursera.org/learn/language-processing
,,,Pass all graded assignments to complete the course.,English,,4.8 starsAverage User Rating 4.8See what learners said,"About this course: Fluid power has the highest power density of all conventional power-transmission technologies. Learn the benefits and limitations of fluid power, how to analyze fluid power components and circuits, and how to design and simulate fluid power circuits for applications.

In this course, you will be introduced to the fundamental principles and analytical modeling of fluid power components, circuits, and systems.

You will learn the benefits and limitations of fluid power compared with other power transmission technologies;  the operation, use, and symbols of common hydraulic components; how to formulate and analyze models of hydraulic components and circuits; and how to design and predict the performance of fluid power circuits.

This course is supported by the National Science Foundation Engineering Research Center for Compact and Efficient Fluid Power, and is endorsed by the National Fluid Power Association, the leading industry trade group in fluid power.",Created by:  University of Minnesota,"['Taught by:\xa0\xa0James D. Van De Ven, PhD, Assistant Professor', 'Taught by:\xa0\xa0Will Durfee, PhD, Morse Alumni Distinguished Teaching Professor ']",Rated 4.8 out of 5 of 304 ratings,See all 91 reviews,2018-05-30,"['Home', 'Physical Science and Engineering', 'Mechanical Engineering']",Fundamentals of Fluid Power,https://www.coursera.org/learn/fluid-power
,,,Pass all graded assignments to complete the course.,English,,4.8 starsAverage User Rating 4.8See what learners said,"About this course: Intended for both Aboriginal and non-Aboriginal learners, this course will explore indigenous ways of knowing and how they can benefit all students. Topics include historical, social, and political issues in Aboriginal education; terminology; cultural, spiritual and philosophical themes in Aboriginal worldviews; and how Aboriginal worldviews can inform professional programs and practices, including but not limited to the field of education.",Created by:  University of Toronto,"['Taught by:\xa0\xa0Jean-Paul Restoule, Associate Professor']",Rated 4.8 out of 5 of 41 ratings,See all 20 reviews,2018-05-30,"['Home', 'Social Sciences', 'Education']",Aboriginal Worldviews and Education,https://www.coursera.org/learn/aboriginal-education
Course 4 of 5 in the Implementación del Marketing Mix Specialization ,"4 semanas de estudio, 3-6 horas/semana",,Pass all graded assignments to complete the course.,"Spanish, Subtitles: Korean, English",,4.7 starsAverage User Rating 4.7See what learners said,"About this course: ¿Qué tanto conoce las campañas de comunicación de marketing? Obtenga más información acerca de este pilar clave del marketing mix y aprovéchelo para dar un impulso a su producto o servicio. 

A través de este curso aprenderá a enfrentar los mayores retos a la hora de planificar y evaluar las estrategias y ejecuciones de comunicaciones de marketing. Tendrá las habilidades para combinar las teorías y modelos con información práctica y así tomar mejores decisiones de comunicaciones de marketing. Al completar este curso será capaz de aprovechar las comunicaciones integradas de marketing (IMC por sus siglas en inglés) en el proceso de crear marcas valiosas y ganar el corazón de sus consumidores.

La profesora Eda Sayin del IE Business School le guiará en este proceso. Con la ayuda de expertos que van desde empresas internacionales de marketing hasta directivos de marketing de empresas multinacionales, ofrecerá interesantes ejemplos de la vida real. Tras este curso, estará equipado con los conocimientos para asegurarse que toma las decisiones correctas respecto a las comunicaciones de marketing, así como respecto a la ubicación de publicidad y marketing  digital.",Created by:  IE Business School,"['Taught by:\xa0\xa0Eda Sayin, Professor']",Rated 4.7 out of 5 of 83 ratings,See all 27 reviews,2018-05-30,"['Home', 'Business', 'Marketing']","Comunicaciones integradas de marketing: Publicidad, Relaciones Públicas, Marketing Digital y más",https://www.coursera.org/learn/comunicaciones-integradas-marketing
,,,Pass all graded assignments to complete the course.,English,Beginner,4.7 starsAverage User Rating 4.7See what learners said,"About this course: Music plays an important role in our daily lives and is woven into the fabric of society. We listen to music while alone or in company, in a dance club or at home, through simple headphones or via high-end speakers, as background or as foreground, after we get up or before we go to bed. Music accompanies us when we are traveling, doing sports, shopping, working or relaxing. This omnipresence of music raises several questions: how does music affect our lives? What is the relation between the society we live in and the role, function, and position of music within that society? How is music influenced by and does music influence social, political, economic, technological, and multiple other developments? 

Do these questions trigger you? Music and Society provides a thorough introduction to the various ways in which music and society are connected through engaging lectures, insightful interviews, challenging assignments, interesting readings, and of course a lot of musical examples. The course aims at increasing your insights on where, how and why we listen to music, how music contributes to shaping our identity, how music forms, expresses, and subverts political ideas, and how music affects our norms and values.","Created by:  Universiteit Leiden, University of the Arts The Hague","['Taught by:\xa0\xa0Marcel Cobussen, Prof.dr.', ""Taught by:\xa0\xa0Hafez Ismaïli M'Hamdi, PhD""]",Rated 4.7 out of 5 of 34 ratings,See all 10 reviews,2018-05-30,"['Home', 'Arts and Humanities', 'Music and Art']",The Importance and Power of Music in our Society,https://www.coursera.org/learn/importance-power-music-our-society
,,,,,,,,,,,,2018-05-30,,R Programming,https://www.coursera.org/learn/r-programming
,"5 weeks of study, 2-3 hours/week",,Pass all graded assignments to complete the course.,English,,4.2 starsAverage User Rating 4.2See what learners said,"About this course: This course will teach you how to design futureproof systems that meet the requirements of IoT systems: systems that are secure, interoperable, modifiable and scalable. Moreover, you'll learn to apply best-in-class software architecture methods to help you design complex IoT and other applications. Lastly, you'll come to understand the business impact of the technical decisions that you make as an IoT system architect.

You'll learn all about software architecture in the next 5 weeks! In the first week, you'll discover why having a well-designed architecture is important and which challenges you might come across while developing your architecture. By the end of the second week, you'll already be able to write your own requirements! In the third and fourth week, you will learn how to correctly write quality attributes and quality attribute scenarios for a specific case. In the last week, you'll learn to describe your own patterns and tactics and see how they're used in an Android framework.",Created by:  EIT Digital ,"['Taught by:\xa0\xa0Frank Gielen, Professor']",Rated 4.2 out of 5 of 121 ratings,See all 30 reviews,2018-05-30,"['Home', 'Computer Science', 'Software Development']",Software Architecture for the Internet of Things,https://www.coursera.org/learn/iot-software-architecture
Course 3 of 5 in the Requirements Engineering: Secure Software  Specifications Specialization ,"4 weeks, 2-5 hours/week",,Pass all graded assignments to complete the course.,English,Beginner,,"About this course: In Requirements Goal Development and Language Analysis, we move from the spoken word to precise writing.  A first step in this is writing goals.  We will talk about goals used in requirements engineering and, from this, writing use cases from what we learn.  Use cases can be in diagram and written form.  Then- the villains enter- misuse cases and abuse cases are discussed in how we can deal with them in a Requirements environment.  In gathering requirements, you'll have many questions remaining.  Often this leads to the need of more interviews and group sessions.  We'll go through how to handle group meetings, dealing with inconsistency, and handling conflict between stakeholders.",Created by:  University of Colorado System,"['Taught by:\xa0\xa0Kristen Walcott-Justice, Assistant Professor']",Rated 5 out of 5 of 3 ratings,,2018-05-30,"['Home', 'Computer Science', 'Software Development']",Requirements Specifications: Goals and Conflict Analysis,https://www.coursera.org/learn/requirements-specification-goals
,6 Modules; 2-3 hours of study per module,,Pass all graded assignments to complete the course.,English,Beginner,4.6 starsAverage User Rating 4.6See what learners said,"About this course: Philosophy, Science and Religion mark three of the most fundamental modes of thinking about the world and our place in it. Are these modes incompatible? Put another way: is the intellectually responsible thing to do to ‘pick sides’ and identify with one of these approaches at the exclusion of others? Or, are they complementary or mutually supportive? As is typical of questions of such magnitude, the devil is in the details. For example, it is important to work out what is really distinctive about each of these ways of inquiring about the world. In order to gain some clarity here, we’ll be investigating what some of the current leading thinkers in philosophy, science and religion are actually doing.

This course, entitled ‘Philosophy and Religion’, is the second of three related courses in our Philosophy, Science and Religion Online series, and in this course we will ask important questions about the age-old debate between science and religion, such as:
 
•  What kind of conflicts are there between religion and science?
•  Does current cognitive science of religion effectively explain away God?
•  If there is a God who has made us so that we can know him, why do some people not believe?
•  Is belief in science also a kind of fundamentalism?
•  What makes us good at getting, giving, or sharing, knowledge? Is this different when it is religious knowledge?

The first course in the Philosophy, Science and Religion series, 'Science and Philosophy' was launched early in 2017 and you can sign up to it at any time. The third course —‘Religion and Science’—will be launched early in 2018. Completing all three courses will give you a broader understanding of this fascinating topic. Look for: 

• Philosophy, Science and Religion I: Science and Philosophy https://www.coursera.org/learn/philosophy-science-religion-1/
• Philosophy, Science and Religion III: Religion and Science

Upon successful completion of all three courses, students will:

(1) Understand the main parameters at stake in the current debate between science and religion.
(2) Have some familiarity with the relevant areas of science that feature in the debate—including cosmology, evolution, and the neurosciences—and will have begun to engage with them conceptually.
(3) Have encountered key philosophical approaches to the interface between science and religion, and will have had the opportunity to engage them in practice.
(4) Have embarked constructively in cross-disciplinary conversations.
(5) Have demonstrated an openness to personal growth through a commitment to dialogue across intellectual and spiritual boundaries.

You can also follow us on Twitter at https://twitter.com/EdiPhilOnline and you can follow the hashtag #psrmooc",Created by:  The University of Edinburgh,"['Taught by:\xa0\xa0Dr Orestis Palermos, Research Explorer', 'Taught by:\xa0\xa0Dr Mark Harris, Senior Lecturer in Science and Religion', 'Taught by:\xa0\xa0Professor Duncan Pritchard, Professor of Philosophy', 'Taught by:\xa0\xa0Dr J Adam Carter, Researcher', 'Taught by:\xa0\xa0Dr Mog Stapleton']",Rated 4.6 out of 5 of 104 ratings,See all 27 reviews,2018-05-30,"['Home', 'Arts and Humanities', 'Philosophy']","Philosophy, Science and Religion: Philosophy and Religion",https://www.coursera.org/learn/philosophy-science-religion-2
Course 6 of 9 in the Digital Manufacturing & Design Technology  Specialization ,"4 weeks of study, 3 ½ hours per week",,Pass all graded assignments to complete the course.,English,Beginner,4.2 starsAverage User Rating 4.2See what learners said,"About this course: Enterprises that seek to become proficient in advanced manufacturing must incorporate manufacturing management tools and integrate data throughout the supply chain to be successful. This course will make students aware of what a digitally connected enterprise is, as they learn about the operational complexity of enterprises, business process optimization and the concept of an integrated product-process-value chain. 

Students will become acquainted with the available tools, technologies and techniques for aggregation and integration of data throughout the manufacturing supply chain and entire product life-cycle. They will receive foundational knowledge to assist in efforts to facilitate design, planning, and production scheduling of goods and services by applying product life cycle data.  

Main concepts of this course will be delivered through lectures, readings, discussions and various videos. 

This is the sixth course in the Digital Manufacturing & Design Technology specialization that explores the many facets of manufacturing’s “Fourth Revolution,”  aka Industry 4.0, and features a culminating project involving creation of a roadmap to achieve a self-established DMD-related professional goal.

To learn more about the Digital Manufacturing and Design Technology specialization, please watch the overview video by copying and pasting the following link into your web browser: https://youtu.be/wETK1O9c-CA","Created by:  University at Buffalo, The State University of New York","['Taught by:\xa0\xa0Sara Behdad, Assistant Professor']",Rated 4.2 out of 5 of 46 ratings,See all 11 reviews,2018-05-30,"['Home', 'Physical Science and Engineering', 'Mechanical Engineering']",Advanced Manufacturing Enterprise,https://www.coursera.org/learn/advanced-manufacturing-enterprise
Course 4 of 4 in the Development of Secure Embedded Systems Specialization ,2 weeks,Normal PC,Pass all graded assignments to complete the course.,English,Advanced,5.0 starsAverage User Rating 5.0See what learners said,"About this course: This capstone project course ties together the knowledge from three previous courses in IoT though embedded systems: Development of Real-Time Systems, Web Connectivity & Security and Embedded Hardware and Operating Systems. The students will develop a larger system using the learning outcomes from these courses, and the students will evaluate the developed system in a real-world programming environment. This course is a true engineering task in which the student must, not only implement the algorithm code, but also handle the interfaces between many different actors and hardware platforms. The students will learn how to motivate engineering decisions and how to choose implementations to make a system actually running. The students will also learn to evaluate the efficiency and the correctness of their system as well as real-world parameters such as energy consumption and cost.",Created by:  EIT Digital ,"['Taught by:\xa0\xa0Juha Plosila, Associate Professor']",Rated 5 out of 5 of 1 ratings,See all reviews,2018-05-30,"['Home', 'Computer Science', 'Software Development']",Capstone:  Autonomous Runway Detection for IoT,https://www.coursera.org/learn/autonomous-runway-detection
Course 5 of 5 in the Excel to MySQL: Analytic Techniques for Business Specialization ,"8 weeks of study, 8-10 hours/week",,Pass all graded assignments to complete the course.,English,,4.7 starsAverage User Rating 4.7See what learners said,"About this course: In this final course you will complete a Capstone Project using data analysis to recommend a method for improving profits for your company, Watershed Property Management, Inc. Watershed is responsible for managing thousands of residential rental properties throughout the United States. Your job is to persuade Watershed’s management team to pursue a new strategy for managing its properties that will increase their profits. To do this, you will: (1) Elicit information about important variables relevant to your analysis; (2) Draw upon your new MySQL database skills to extract relevant data from a real estate database; (3) Implement data analysis in Excel to identify the best opportunities for Watershed to increase revenue and maximize profits, while managing any new risks; (4) Create a Tableau dashboard to show Watershed executives the results of a sensitivity analysis; and (5) Articulate a significant and innovative business process change for Watershed based on your data analysis, that you will recommend to company executives. 

Airbnb, our Capstone’s official Sponsor, provided input on the project design. The top 10 Capstone completers each year will have the opportunity to present their work directly to senior data scientists at Airbnb live for feedback and discussion.

""Note: Only learners who have passed the four previous courses in the specialization are eligible to take the Capstone.""",Created by:  Duke University,"['Taught by:\xa0\xa0Daniel Egger, Executive in Residence and Director, Center for Quantitative Modeling', 'Taught by:\xa0\xa0Jana Schaich Borg, Assistant Research Professor']",Rated 4.7 out of 5 of 113 ratings,See all 23 reviews,2018-05-30,"['Home', 'Data Science', 'Data Analysis']",Increasing Real Estate Management Profits: Harnessing Data Analytics,https://www.coursera.org/learn/analytics-capstone
Course 5 of 6 in the Responsive Website Development and Design Specialization ,"4 weeks of study, 1-2 hours/week",,Pass all graded assignments to complete the course.,English,,4.2 starsAverage User Rating 4.2See what learners said,"About this course: In this course, we will show you exciting examples of collaborative, interactive web applications that use various types of media including sound, images and big data. 

We will show you how to build sites that provide precisely this functionality, using Meteor. We will also provide fully working example application code that you can use for your own commercial web projects. 

The course also provides a range of advice and suggestions about how to develop bespoke web applications which match the requirements of clients, where clients are people who commission the product or people who use the product.  

We will take you through the development of the following applications:

1.	A portfolio website with collaborative blogging functionality.
2.	An interactive, realtime, multi user music remixing system.
3.	An interactive, online graffiti wall where users can collaborate to create graphics.
4.	An interactive data visualisation platform for exploring and plotting big data in exciting ways.

At the end of this course, you will be able to:

•	Implement animated data visualisations and graphics using advanced user interface libraries such as vis.js 
•	Work with external data sources 
•	Create multi user, realtime, collaborative environments
•	Use media APIs such as the Web Audio API

Participation in or completion of this online course will not confer academic credit for University of London programmes","Created by:  University of London, Goldsmiths, University of London","['Taught by:\xa0\xa0Dr Matthew Yee-King, Lecturer', 'Taught by:\xa0\xa0Dr Mick Grierson, Reader']",Rated 4.2 out of 5 of 225 ratings,See all 46 reviews,2018-05-30,"['Home', 'Computer Science', 'Mobile and Web Development']",Responsive Website Tutorial and Examples,https://www.coursera.org/learn/responsive-website-examples
